Time in ms;Wheel1_cw_count;Wheel1_ccw_count;Wheel2_cw_count;Wheel2_ccw_count
1350716;22;6;213;65
1356231;22;6;213;65
1361746;22;6;213;65
1367261;22;6;213;65
1372776;22;6;213;65
1378291;22;6;213;65
1383806;22;6;213;65
1389322;22;6;213;65
1394837;22;6;213;65
1400353;22;6;213;65
1405868;22;6;213;65
1411384;22;6;213;65
1416899;22;6;213;65
1422414;22;6;213;65
1427929;22;6;213;65
1433445;22;6;213;65
1438960;22;6;214;65
1444475;22;6;214;66
1449990;22;6;214;66
1455506;22;6;214;66
1461021;22;7;214;70
1466539;22;10;214;70
1472054;22;10;214;70
1477570;22;10;214;70
1483085;22;10;214;70
1488601;22;10;214;70
1494116;22;10;214;70
1499632;22;10;214;70
1505147;22;10;214;70
1510663;22;10;219;70
1516178;22;10;237;70
1521694;22;10;243;70
1527209;22;10;243;70
1532725;22;10;250;70
1538240;22;10;265;70
1543755;22;10;276;70
1549270;22;10;288;70
1554786;22;10;302;70
1560301;22;10;302;70
1565817;22;10;302;70
1571332;22;10;302;70
1576848;22;10;302;70
1582363;22;10;302;70
1587879;22;10;304;70
1593394;22;10;304;70
1598912;22;10;304;70
1604428;22;10;304;70
1609943;22;10;304;70
1615459;22;10;304;70
1620974;22;10;304;70
1626490;22;10;304;70
1632005;22;10;304;70
1637521;22;10;304;70
1643036;22;10;304;70
1648552;22;10;304;70
1654067;22;10;304;70
1659583;22;10;304;70
1665098;22;10;304;70
1670614;22;10;304;70
1676129;22;10;304;70
1681645;22;10;304;70
1687160;22;10;304;70
1692676;22;10;320;70
1698191;22;10;329;70
1703707;22;10;343;70
1709222;22;10;349;71
1714738;22;10;356;71
1720253;22;10;357;73
1725769;22;10;357;73
1731284;22;10;357;73
1736798;22;10;357;73
1742313;22;10;357;73
1747829;22;10;357;73
1753344;22;10;357;73
1758860;22;10;357;73
1764375;22;10;357;73
1769891;22;10;357;73
1775406;22;10;357;73
1780922;22;10;357;73
1786437;22;10;357;73
1791953;22;10;357;73
1797468;22;10;357;73
1802989;22;10;357;73
1808504;22;10;357;73
1814019;22;10;357;73
1819534;22;10;357;73
1825049;22;10;357;73
1830564;22;10;357;73
1836079;22;10;357;73
1841594;22;10;357;73
1847109;22;10;357;73
1852624;22;10;357;73
1858140;22;10;357;73
1863655;22;10;357;73
1869173;22;10;357;73
1874688;22;10;357;73
1880203;22;10;357;73
1885718;22;10;357;73
1891234;22;10;357;73
1896749;22;10;357;73
1902265;22;10;357;73
1907780;22;10;357;73
1913296;22;10;357;73
1918811;22;10;357;85
1924326;22;10;357;85
1929841;22;10;357;85
1935357;22;10;357;85
1940872;22;10;357;85
1946388;22;10;357;85
1951903;22;10;357;85
1957418;22;10;357;85
1962933;22;10;357;85
1968448;22;10;357;85
1973963;22;10;357;85
1979479;22;10;357;85
1984994;22;10;357;85
1990509;22;10;357;85
1996024;22;10;357;85
2001542;22;10;357;85
2007057;22;10;357;85
2012572;22;10;357;85
2018087;22;10;357;85
2023602;22;10;357;85
2029118;22;10;357;85
2034633;22;10;357;85
2040149;22;10;357;85
2045664;22;10;357;85
2051179;22;10;357;85
2056694;22;10;357;85
2062209;22;10;357;85
2067724;22;10;357;85
2073240;22;10;357;85
2078755;22;10;357;85
2084270;22;10;357;85
2089785;22;10;357;85
2095300;22;10;357;85
2100815;22;10;357;85
2106331;22;10;357;85
2111846;22;10;357;85
2117362;22;10;357;85
2122877;22;10;357;85
2128392;22;10;357;85
2133907;22;10;357;85
2139425;22;11;357;85
2144940;23;11;357;85
2150455;23;13;357;85
2155970;23;15;357;85
2161486;24;16;357;85
2167001;24;16;357;85
2172517;24;16;357;85
2178032;24;16;357;85
2183548;24;16;357;85
2189063;24;16;357;85
2194579;24;16;357;85
2200094;24;16;357;85
2205609;24;16;357;85
2211124;24;16;357;85
2216640;24;16;357;85
2222155;24;16;357;85
2227671;24;16;357;85
2233186;24;16;357;85
2238702;24;16;357;85
2244217;24;16;357;85
2249733;24;16;357;85
2255248;24;16;357;85
2260764;24;16;357;85
2266279;24;16;357;85
2271797;24;16;357;85
2277312;24;16;357;85
2282827;24;16;357;85
2288342;24;16;357;85
2293857;24;16;357;85
2299372;24;16;364;85
2304887;24;16;372;88
2310402;24;16;383;88
2315917;24;16;398;88
2321432;24;16;403;88
2326947;24;16;403;88
2332462;24;16;403;88
2337977;24;16;403;88
2343492;24;16;403;88
2349007;24;16;403;88
2354522;24;16;403;88
2360037;24;16;403;88
2365552;24;16;403;88
2371067;24;16;403;88
2376582;24;16;403;88
2382097;24;16;403;88
2387612;24;16;403;88
2393127;24;16;403;88
2398642;24;16;403;88
2404160;24;16;403;88
2409676;24;16;403;88
2415191;24;16;403;88
2420706;24;16;403;88
2426221;24;16;403;88
2431737;24;16;403;88
2437252;24;16;403;88
2442768;24;16;403;88
2448283;24;16;403;88
2453798;24;16;403;88
2459313;24;16;403;88
2464829;24;16;403;88
2470344;24;16;403;88
2475860;24;16;403;88
2481375;24;16;403;88
2486891;24;16;403;88
2492406;24;16;403;88
2497922;24;16;403;88
2503437;24;16;403;88
2508953;24;16;403;88
2514468;24;16;403;88
2519984;24;16;403;88
2525499;24;16;403;88
2531015;24;16;403;88
2536531;24;16;403;88
2542050;24;16;403;88
2547566;24;16;403;88
2553081;24;16;403;88
2558597;24;16;403;88
2564112;24;17;403;88
2569628;25;17;404;88
2575143;25;17;404;88
2580659;25;17;406;88
2586175;25;17;423;88
2591691;25;17;424;88
2597207;25;17;444;88
2602723;25;17;460;88
2608239;25;17;475;88
2613755;25;17;490;88
2619271;25;17;498;88
2624787;25;17;519;88
2630303;25;17;536;88
2635819;25;17;553;88
2641335;25;17;561;88
2646851;25;17;585;88
2652366;25;17;598;88
2657882;25;17;615;88
2663397;25;17;638;88
2668913;25;17;638;88
2674431;25;17;638;88
2679947;25;17;638;88
2685463;25;17;638;88
2690979;25;17;638;88
2696495;25;17;638;88
2702011;25;17;638;88
2707526;25;17;640;88
2713042;25;17;640;88
2718558;25;17;640;88
2724074;25;17;640;88
2729590;25;17;640;88
2735106;25;17;640;88
2740621;25;17;640;88
2746137;25;17;640;88
2751653;25;17;640;88
2757169;25;18;640;88
2762685;26;18;640;88
2768201;26;18;640;88
2773716;26;18;640;88
2779232;26;18;640;88
2784748;26;18;640;88
2790264;26;18;640;88
2795779;26;18;640;88
2801295;26;18;640;88
2806810;26;18;640;88
2812328;26;18;640;88
2817844;26;18;640;88
2823359;26;18;640;88
2828875;26;18;640;88
2834390;26;18;640;88
2839906;26;18;640;88
2845421;26;18;640;88
2850937;26;18;640;88
2856452;26;18;640;88
2861968;26;18;640;88
2867483;26;18;640;88
2872999;26;18;640;88
2878514;26;18;640;88
2884030;26;18;640;88
2889545;26;18;640;88
2895061;26;18;640;88
2900576;26;18;640;88
2906092;26;18;640;88
2911607;26;18;640;88
2917123;26;18;640;88
2922638;26;18;640;88
2928154;26;18;640;88
2933669;26;18;640;88
2939185;26;18;640;88
2944703;26;18;640;88
2950219;26;18;640;88
2955734;26;18;640;88
2961250;26;18;640;88
2966766;26;18;640;88
2972282;26;18;640;88
2977798;26;18;640;88
2983314;26;18;640;88
2988829;26;18;640;88
2994345;26;18;640;88
2999860;26;18;640;88
3005376;26;18;640;88
3010892;26;18;640;88
3016408;26;18;640;88
