Time in ms;Wheel1_cw_count;Wheel1_ccw_count;Wheel2_cw_count;Wheel2_ccw_count
1227882;10;6;85;190
1232899;10;6;89;190
1237922;10;6;90;199
1242938;10;6;90;216
1247942;10;6;92;225
1252948;10;6;92;225
1257962;10;6;92;225
1262978;10;6;92;225
1267983;10;6;92;225
1272997;10;6;92;225
1278007;10;6;92;225
1283012;10;6;92;225
1288018;10;7;92;225
1293036;10;7;92;225
1298048;11;7;92;225
1303065;11;7;92;225
1308080;11;7;92;225
1313086;11;7;92;225
1318102;11;7;92;225
1323114;11;7;92;225
1328129;11;7;92;225
1333139;12;7;92;225
1338150;14;7;92;225
1343154;14;7;93;225
1348179;14;7;93;225
1353185;14;7;93;225
1358291;14;7;93;225
1363295;14;7;93;225
1368312;14;7;93;225
1373328;14;7;93;225
1378351;14;7;93;225
1383357;14;7;98;225
1388373;14;7;98;239
1393378;14;7;98;255
1398381;14;7;99;258
1403383;14;7;99;259
1408394;14;7;99;259
1413397;14;7;99;259
1418405;14;7;99;259
1423410;14;7;99;259
1428419;14;7;99;259
1433436;14;7;99;259
1438444;14;7;99;259
1443455;14;7;99;259
1448458;14;7;99;259
1453464;14;7;99;259
1458480;14;7;99;259
1463495;14;7;99;259
1468518;14;7;99;259
1473525;14;7;99;259
1478536;14;7;99;259
1483549;14;7;99;259
1488560;14;7;99;259
1493563;14;7;99;259
1498567;14;7;99;259
1503582;15;7;99;259
1508600;15;7;99;259
1513614;15;7;99;259
1518624;15;7;99;259
1523631;15;7;99;259
1528647;15;7;99;259
1533651;15;7;99;259
1538661;15;7;99;259
1543679;15;7;99;259
1548683;15;7;101;261
1553699;15;7;105;261
1558702;15;7;106;261
1563717;15;7;106;261
1568730;15;7;106;261
1573740;15;7;106;261
1578751;15;7;106;261
1583769;15;7;106;261
1588783;15;7;106;261
1593796;15;7;106;261
1598803;15;7;106;261
1603808;15;7;106;261
1608817;15;7;106;261
1613821;15;7;106;261
1618830;15;7;106;261
1623843;15;7;106;261
1628846;15;7;106;261
1633863;15;7;106;261
1638875;15;7;106;261
