Time in ms;Wheel1_cw_count;Wheel1_ccw_count;Wheel2_cw_count;Wheel2_ccw_count
1398259;103;27;37;37
1403275;103;27;37;37
1408286;103;27;37;37
1413293;103;27;37;37
1418312;103;27;37;43
1423327;103;27;37;44
1428341;103;27;37;49
1433359;103;27;37;52
1438384;103;27;37;53
1443398;103;27;37;53
1448421;103;27;37;53
1453425;103;27;37;53
1458440;103;27;37;53
1463450;103;27;37;53
1468464;103;27;37;53
1473476;103;27;37;53
1478489;103;27;37;53
1483497;103;27;37;53
1488500;103;27;37;53
1493515;103;27;37;53
1498529;103;27;37;53
1503543;103;27;37;53
1508556;103;27;37;53
1513559;103;27;37;53
1518573;103;27;37;53
1523595;103;27;37;53
1528606;103;27;37;53
1533619;103;29;37;53
1538635;103;29;37;53
1543651;103;29;37;53
1548669;103;29;37;53
1553675;103;29;37;57
1558687;103;29;37;57
1563697;103;29;37;57
1568706;103;29;37;57
1573713;103;29;37;57
1578716;103;29;37;57
1583732;103;29;37;57
1588736;103;29;37;57
1593738;103;29;37;57
1598748;103;29;37;57
1603765;103;29;37;57
1608779;103;29;37;57
1613795;103;29;37;57
1618799;103;29;37;57
1623816;103;29;38;57
1628832;103;29;38;57
1633843;103;29;38;58
1638855;103;29;38;64
1643864;103;29;38;65
1648871;104;29;38;72
1653881;105;29;38;77
1658893;105;29;38;77
1663900;105;29;38;77
1668905;105;29;38;77
1673915;105;29;38;77
1678923;105;29;38;77
1683934;105;29;38;77
1688944;105;29;38;77
1693948;105;29;38;77
1698968;105;29;38;77
1703977;105;29;38;77
1708980;105;29;38;77
1713991;105;29;38;77
1718997;105;29;38;77
1724005;105;29;38;77
1729023;105;29;38;77
1734035;105;29;38;77
1739052;105;29;38;77
1744056;105;29;38;77
1749062;105;29;38;77
1754079;105;29;38;77
1759095;113;29;38;77
1764103;114;30;38;77
1769116;114;30;38;77
1774123;114;30;38;77
1779135;114;30;38;77
1784148;114;30;38;77
1789166;114;30;38;77
1794177;114;30;38;77
1799183;114;30;38;77
1804201;114;30;38;77
1809217;114;30;38;77
1814222;114;30;38;77
1819239;114;30;38;85
1824242;114;30;38;90
1829256;114;30;38;90
1834266;114;30;38;90
1839280;114;30;38;90
1844283;114;30;38;90
1849293;114;30;38;97
1854297;114;30;38;102
1859309;114;30;38;102
1864324;114;30;38;102
1869336;114;30;38;102
1874353;114;30;38;102
1879369;114;30;38;102
1884378;114;30;38;102
1889386;114;30;38;102
1894395;114;30;38;102
1899405;114;30;38;102
1904410;114;30;38;102
1909417;114;30;38;102
1914429;114;30;38;102
1919436;114;30;38;102
1924439;114;30;38;102
1929460;114;30;38;103
1934470;114;30;38;105
1939484;114;30;38;105
1944489;114;30;38;105
1949500;114;30;38;106
1954509;114;30;38;106
1959513;114;30;38;106
1964518;114;30;38;111
1969526;114;30;38;121
1974542;114;30;38;127
1979565;114;30;38;127
1984582;114;30;38;127
1989587;114;30;40;127
1994603;114;30;41;127
1999616;114;31;41;127
2004633;115;31;41;127
2009650;115;31;41;129
2014667;115;31;41;129
2019674;115;31;41;129
2024678;115;31;41;129
2029690;115;31;41;129
2034703;115;31;41;129
2039717;115;31;41;129
2044735;115;31;41;129
2049744;115;31;41;129
2054751;115;31;41;129
2059767;115;31;41;129
2064780;115;31;41;129
2069785;115;31;41;129
2074798;115;31;41;129
2079810;115;31;41;129
2084826;115;31;41;129
2089829;115;31;41;129
2094836;115;31;41;129
2099847;115;31;41;129
2104862;115;31;41;129
2109876;115;31;44;129
2114878;115;31;46;129
2119884;115;31;46;129
2124896;115;31;46;129
2129899;115;31;46;129
2134914;115;31;46;129
2139930;115;31;46;129
2144933;115;31;46;129
2149941;115;31;46;129
2154955;115;31;46;129
2159971;115;31;46;129
2164975;115;31;46;129
2169980;115;31;46;129
2174996;115;31;46;129
2180005;115;31;46;129
2185019;115;31;46;129
2190035;115;31;46;129
2195043;115;31;46;130
2200056;115;31;46;130
2205069;115;31;46;130
2210085;115;31;46;130
2215093;115;31;46;130
2220102;115;31;46;130
2225118;115;31;46;130
2230121;115;31;46;130
2235123;115;31;46;130
2240136;115;31;46;130
2245153;115;31;46;130
2250164;115;31;46;130
2255172;115;31;46;130
2260182;115;31;46;130
2265198;115;31;46;130
2270206;115;31;46;130
2275223;115;31;46;130
2280230;115;31;46;130
2285232;115;31;46;130
2290236;115;31;46;130
2295257;115;31;46;130
2300271;115;31;46;130
2305279;115;31;46;130
2310285;115;31;46;130
2315295;115;31;46;130
2320314;115;31;46;130
2325323;115;31;46;130
2330339;115;31;46;130
2335355;115;31;46;130
2340359;115;31;46;130
2345362;115;31;46;130
2350373;115;31;46;130
2355382;115;31;46;130
2360396;115;31;46;130
2365410;115;31;46;130
2370417;115;31;46;130
2375422;115;31;46;130
2380430;115;31;46;130
2385443;115;31;46;130
2390452;115;31;46;130
2395456;115;31;46;130
2400458;115;31;46;130
2405461;115;31;47;130
2410476;115;31;47;130
2415486;115;31;47;130
2420498;115;31;47;130
2425521;115;31;47;130
2430527;115;31;47;130
2435536;115;31;47;130
2440546;115;31;47;130
2445550;115;31;47;130
2450562;115;31;47;130
2455580;115;31;47;130
2460583;115;32;47;130
2465598;116;32;47;130
2470609;116;32;47;130
2475622;116;32;47;130
2480626;116;32;47;130
2485643;116;32;47;130
2490659;116;32;47;130
2495673;116;32;47;130
2500695;116;32;47;130
2505702;116;32;47;130
2510717;116;32;47;130
2515726;116;32;47;130
2520748;116;32;47;130
2525757;116;32;47;130
2530774;116;32;47;130
2535789;116;32;47;130
2540792;116;32;47;130
2545800;116;32;47;130
2550820;116;32;47;130
2555828;116;32;47;130
2560841;116;32;47;130
2565854;116;32;47;130
2570871;116;32;47;130
2575882;116;32;47;130
2580887;116;32;47;130
2585897;116;32;47;130
2590920;116;32;47;130
2595923;116;32;47;131
2600941;116;32;47;131
2605954;116;32;47;131
2610966;116;32;47;131
2615983;116;32;47;131
2620991;116;32;47;131
2625996;116;32;47;131
2631009;116;32;47;131
2636019;116;32;47;131
